nombre, direccion,ruc,representante_dni,telefono
Newell Rubbermaid Inc,Duko Court 429,20752553181,79233001,5372343
Deluxe Corporation,Lezgag Junction 371,20368672758,78999689,931737844
Great Plains Energy Inc.,Filom Extension 451,10598173455,43904381,937273114
Felcor Lodging Trust Inc.,Okra Plaza 745,10636245781,51555682,964994265
National Oilwell Inc,Wola Street 733,10184336687,63825738,942529317
Unitrin Inc,Jeha Pike 859,20554495967,91259529,959945258
Cox Communications Inc.,Uwcu Point 806,20765483913,02100042,5399747
CH2M Hill Cos. Ltd.,Hitce Park 654,10324936338,31830598,942791631
"Beckman Coulter, Inc.",Sakof Street 547,20463169947,91346827,954835745
"E*Trade Group, Inc.",Sizemo Turnpike 434,10292563637,58840331,987863946
Enron Corp.,Jukib Grove 432,20691594835,83646308,2393327
Constellation Emergy Group Inc.,Ceso Street 163,20258216341,04595889,972372923
First National of Nebraska Inc.,Pize Park 547,20264274534,82905253,945436756
Wells Fargo & Company,Zegjut Boulevard 055,20725781387,47786912,5559824
Baker Hughes Incorporated,Zibpof Point 345,20746182428,11253594,962379951
Caterpillar Inc.,Pehe Manor 848,20561771961,83716714,4175827
Genzyme Corporation,Dotak Highway 318,20563869717,59026449,921518642
Murphy Oil Corporation,Vooz Road 154,20765488391,14003990,5316654
Gentiva Health Services Inc.,Aweuma Avenue 846,20291758496,88326552,982524225
PNC Financial Services Group Inc.,Tagroh Square 700,20174815339,93686581,6466985
Pro-Fac Cooperative Inc.,Genuw Key 298,20642299125,58908293,995697553
CBRL Group Inc.,Ohemo Drive 988,20466572417,94624038,989149644
Union Planters Corp,Tosig Park 254,20853738518,49641076,2756934
Gap Inc.,Peum Circle 824,20767664646,36852459,977945546
Ecolab Inc.,Wifow Junction 247,10256484279,78685379,944929889
J.B. Hunt Transport Services Inc.,Amino Point 545,20813812372,01712896,983478381
Freeport McMoran Copper & Gold Inc.,Kirivu Boulevard 541,10485333822,86575471,5727574
Unova Inc,Gobaw Key 812,10853451117,72756665,6398827
Tech Data Corporation,Haed Plaza 757,20144829394,61863743,932287722
Express Scripts Inc.,Bazer Terrace 302,20196113135,93174745,993637252
Republic Services Inc,Zosdu Court 120,20241697329,30041838,3911149
Dillard's Inc.,Ufro Trail 581,10684191286,73847681,921188692
Northeast Utilities System,Sico View 601,20732351549,94461096,961242665
K-Mart Corp.,Jiwek Glen 187,20434789716,97262294,6355427
UGI Corporation,Gajolo Center 658,20621263998,22679114,965869486
The MONY Group Inc.,Vizjid Court 587,10543587116,53386032,911328872
US Oncology Inc,Kuka Pass 295,20699814882,37341244,993189533
Williams Sonoma Inc,Okvig Way 777,20625313242,15573911,4697397
Vishay Intertechnology Inc,Iwazuj Park 419,20917842684,10271561,4546446
Masco Corporation,Hudi Glen 054,10194168721,25127053,936132569
CMS Energy Corp.,Pulva Manor 874,10641696446,70310085,6495186
Mariner Health Care Inc.,Lozlir Heights 505,20269976261,64610554,963478889
Freeport McMoran Copper & Gold Inc.,Likit Path 285,10972968741,15071456,989422848
Fleetwood Enterprises Inc.,Lotuva Square 572,20421721576,47887300,5179161
Louisiana-Pacific Corporation,Addom Key 771,10649473841,20439220,6741577
Newell Rubbermaid Inc,Jalu Center 777,20917392991,85447290,4171882
Smith International Inc,Poadu Manor 147,10143516856,98435149,2729492
TMP Worldwide Inc,Lobfob Pike 932,10133165763,95156199,929692771
Wellpoint Health Networks Inc,Tohdah Parkway 188,20959868132,43543557,914827534
Riverwood Holding Inc.,Cepec Center 881,10794862941,01167903,923768653
"Dover Corporation, Inc.",Favgib Junction 168,20721911961,30650068,5442116
Steelcase Inc,Ofalem Trail 001,20547293752,17372400,4527219
Costco Wholesale Corp.,Goced River 968,10116472472,89807831,926188586
Pharmacia Corp,Utuhu Parkway 264,10725378491,23409465,995868751
Alcoa Inc.,Zehuz Boulevard 659,20956957272,72546278,958939215
Edison International,Egicow Point 891,20898186396,54774834,5184952
Knight-Ridder Inc.,Kuve Heights 577,20449957969,66272936,916333487
PPG Industries Inc,Seowu Mill 357,10423156693,59920468,4636771
Concord EFS Inc.,Uvore Parkway 212,20577556814,34772771,2553285
"Pep Boys Manny, Moe & Jack",Zoru Plaza 710,20988927983,15613033,5323364
Wyeth,Rejek Highway 182,10258498959,22097799,925832299
Coca-Cola Co.,Bica Center 324,10575263584,37490067,917886672
Northrop Grumman Corporation,Rawi Pass 532,10843844994,89823824,5386471
Silgan Holdings Inc.,Rokfa Avenue 330,20337373746,89853192,6296546
WorldCom Inc,Cezko Street 519,10894857121,41250712,986866837
KLA-Tencor Corporation,Atwas Path 706,10623917879,26831796,4572191
"Administaff, Inc.",Nezejo Glen 510,10248858633,96585023,921744219
Manor Care Inc.,Maduc Plaza 010,20467877263,96702952,993551427
Home Depot Inc.,Lujji Key 301,20292229734,83218541,982342526
Mercury General Corporation,Ikze Center 037,10171771487,75447562,6112334
PPG Industries Inc,Soge Plaza 541,10629326937,45832852,3313612
GenCorp Inc.,Pares Center 715,20259451917,03681169,6543327
Host Marriott Corp.,Cimvab View 785,10516122878,88889444,994283228
Timken Company,Sucew Square 491,20262466482,62341116,3712187
Bethlehem Steel Corporation,Safon Center 585,20494344626,28716630,988321482
St. Paul Cos.,Nijud Loop 075,20114313963,33732860,976973968
Abbott Laboratories,Rebbi Heights 303,10137484213,82346705,957972624
"Barnes & Noble, Inc.",Cawva Glen 100,20761527981,18642193,4132198
Golden West Financial Corporation,Dihve Pass 349,10381871447,92496558,2672913
"Broadwing, Inc.",Fouw Point 613,10293526979,81908691,983816222
Cinergy Corp.,Toppeb Manor 063,20957799515,91390968,993118965
Computer Associates International Inc.,Degi Avenue 441,10131359163,70254189,6999466
"Conectiv, Inc",Lamziv Ridge 805,10797487593,97240490,2914413
Consolidated Edison Inc.,Dollo Circle 301,20674946789,78704702,999148346
"Albertson's, Inc.",Posud Place 821,20686289473,13441511,995147268
Smithfield Foods Inc,Uruja Grove 707,10573315424,29163103,2518682
Genuine Parts Company,Wullas Circle 676,10199761775,36695255,988273336
Ball Corporation,View Path 763,10688459294,49813378,3259453
Brunswick Corporation,Mopa Plaza 607,10476738485,24284271,5677319
Atmos Energy Corporation,Fotlof Road 204,10632174175,60792939,978221726
Aon Corporation,Owawi Heights 098,10466456399,09930577,976563355
Principal Financial Group Inc.,Dilde Ridge 064,10835724478,50203477,979466765
Peoples Energy Corp.,Irvo Circle 171,10968364146,03073302,3218153
Ohio Casualty Corp.,Vutjaw Boulevard 132,10578416888,46545096,4981644
Cardinal Health Inc.,Taseb Trail 799,20549349875,85121456,6793191
Exelon Corporation,Otca Drive 927,10618781635,78859386,3924635
Xerox Corp,Mewoz Path 846,20741725792,26784416,943621937
Parker Hannifin Corp.,Kugoh Road 655,10756332126,92350504,929917412
AMERCO,Pelus Boulevard 425,20499894192,11666700,6857228
Nordstrom Inc,Rugo Way 852,20566291716,07829426,929383863
Robert Half International Inc.,Tajsu Trail 142,10584992948,08761173,989677269
New Jersey Resources Corporation,Tihdis Circle 195,20756715231,60364623,5318674
CSK Auto Corp.,Rifuf River 466,10657317485,22392442,6691796
Calpine Corp.,Dice Extension 383,20944821548,55176227,4623142
AnnTaylor Inc.,Lejaf Park 860,10918275416,38060179,935178599
North Fork Bancorporation Inc,Emrew Pike 874,20353554124,82349085,6493411
Eastman Kodak Company,Vepka Street 129,20377819245,21300998,945579978
"The Alpine Group, Inc.",Gutwuc View 088,10992116465,55422654,6314635
Gold Kist Inc.,Kocvab Square 136,20277185324,20036999,5522461
Nash Finch Company,Menol Path 853,10978287147,05890068,5617657
American Express Company,Efvi Place 021,20375384515,94737191,4613146
Pacific Gas & Electric Corp.,Tavta Grove 462,20797869759,87704380,998449529
Phillips Petroleum Co,Beju Ridge 602,10678253928,61901691,982277523
Weis Markets Inc.,Hioz Manor 656,10672768782,33665308,961514527
"Amkor Technology, Inc.",Biniw Lane 877,10244354356,66566569,2677691
General Dynamics Corporation,Wilite Point 434,10943423173,71677481,6595398
"Merck & Co., Inc.",Vafhag Path 477,10729347442,79354849,3177635
"Anheuser-Busch Companies, Inc.",Fujeg Place 297,10954971647,19336811,983127296
Hershey Foods Corp.,Hubut Key 032,20745618425,55044250,943172862
Vishay Intertechnology Inc,Porit Drive 011,20337536697,94985724,4723214
H.J. Heinz Company,Vizi Heights 411,10465557999,80684496,4991157
C. H. Robinson Worldwide Inc.,Voigo Heights 001,20722216515,59974097,6147995
AGCO Corporation,Habcuv Square 005,10721297816,56009788,967254895
Western Gas Resources Inc,Nire Terrace 011,10266638252,19479496,919129747
York International Corp,Daho Mill 995,10388547244,98497822,2652366
Solectron Corp,Jaij Center 582,10137858412,21117580,936289668
AFLAC Incorporated,Jocum Road 346,20172924184,07120398,954525975
Sonic Automotive Inc.,Kuef Center 037,20273648252,13789112,3724752
IDT Corporation,Hejag Glen 757,10343661188,11277990,3111317
Anadarko Petroleum Corporation,Bucbi Trail 337,10568485146,66650275,972988562
National Semiconductor Corporation,Botjid Plaza 100,10244145459,08559820,995681824
Science Applications Intl. Inc.,Sihfi Court 209,10191344149,34723374,986774652
Concord EFS Inc.,Onuvaw Pike 000,20362421517,43812528,4989393
Outback Steakhouse Inc.,Ezawo Place 909,10362188495,64373385,979335669
DIMON Incorporated,Cepuri Circle 213,20748375117,41709386,958726379
Georgia-Pacific Corporation,Etopa Road 629,10475918571,86269559,967836828
DURA Automotive Systems Inc.,Badu Turnpike 506,20275726863,75866859,951741387
Progressive Corporation,Verav Court 441,10982572825,00573404,992961123
"Analog Devices, Inc.",Lisom Avenue 894,10949834262,20259365,6418486
TJX Companies Inc,Sohte Plaza 575,10523155248,56331231,3184842
Domino's Pizza LLC,Ubpa Loop 470,10335236715,47079810,3513334
Dell Computer Corporation,Gopri Turnpike 628,10913454172,14339627,6951487
Cisco Systems Inc.,Kejbik Pike 260,10327827683,23461580,5622535
ONEOK Inc,Huvwe Mill 127,20293831586,42150456,952687349
US Oncology Inc,Ifegiw Park 729,10247672737,90066382,5499748
Teradyne Inc,Epuka Ridge 559,10881373358,14497941,5557846
Millennium Chemicals Inc.,Iznar Street 215,20341865175,60553103,996472935
PolyOne Corp,Mufzo Glen 311,10858565322,82489027,6182676
Stilwell Financial Inc,Suluz Boulevard 306,20391663745,59970022,4445818
Reliance Steel & Aluminum Co.,Masaw Way 755,10248769496,35339748,5944126
OfficeMax Inc,Buaro Loop 663,20256158462,77478938,963383793
Lowe's Companies Inc.,Itowo River 071,20987462765,23098472,975834716
Microsoft Corporation,Orojoh Ridge 975,10313592196,97814560,2935395
Graybar Electric Company Inc.,Nefe Heights 790,20625726154,30965292,2587775
Baxter International Inc.,Fenro Lane 903,20261922991,72709352,937767186
Wm Wrigley Jr Company,Subig Avenue 988,10657546123,22514635,5665648
"Budget Group, Inc.",Unoes Key 461,20181773428,33780107,2694374
"Bemis Company, Inc.",Upcuw Park 285,20718788714,31883902,6677947
Washington Post Co.,Solfa Pike 437,10679193733,94212944,3333381
Comverse Technology Inc.,Pitse Place 965,10196946449,83122118,947241552
Coca-Cola Enterprises Inc.,Ningeb Road 488,20252892752,71560779,989884734
Acterna Corp.,Iris Parkway 134,10318868638,68184498,5739983
Scotts Company,Gefud River 730,20234313959,90132893,962539219
3M Company,Feave Place 235,20641222732,68799845,3186469
Adolph Coors Company,Tuav Place 734,10883346173,37027383,4858731
Fiserv Inc.,Cukvo Park 648,10953595534,45976249,2523285
ChevronTexaco Corp.,Wurku Loop 981,10752314965,99256334,913596166
United Defense Industries Inc.,Hougi Manor 020,20437914938,48484186,4668529
"Banknorth Group, Inc.",Zecruh Lane 012,20311553996,33214214,925527665
"Applied Materials, Inc.",Nohwor Pass 577,10976159556,68952113,2132241
State Street Corp.,Tutki Junction 386,20831739873,36861184,918618816
Revlon Inc,Hoki Place 973,20277867734,93110636,4811788
Pall Corp,Tapoh Path 665,20519522745,93767019,2251669
General Mills Inc,Unafu View 580,20576937159,11324866,955893636
Pier 1 Imports Inc.,Zebwu Highway 009,10794845142,78766659,994611794
Home Depot Inc.,Zehci Pike 561,20298673774,53996653,948919775
United Parcel Service Inc,Vokme Circle 808,10328812818,71375462,2576713
Quantum Corp,Itiwec Pike 878,10615915884,26061495,957622798
Guidant Corporation,Vejafo Heights 289,20499461952,33653965,973152536
Washington Mutual Inc,Pobib Park 226,20145467565,30512992,5185417
Integrated Electrical Services Inc.,Ehejok Glen 445,20358429415,34890993,983473763
Harris Corp.,Waho River 360,10459716293,70079562,2824798
Harley-Davidson Inc.,Uzapa Lane 464,10496818789,41273547,988871386
Kemet Corp.,Weak Court 301,20247374788,93034139,917412339
Sherwin-Williams Company,Ubci Manor 986,20365624416,56450989,927162221
Foster Wheeler Ltd.,Lubne Circle 085,20435964383,85475379,5164877
ServiceMaster Co,Epdu Drive 017,10521295686,67507119,982237437
On Semiconductor Corp,Fozjep Court 558,10664115632,12562275,5799281
International Paper Co.,Wedecu Point 520,20751283893,37684580,2361566
Morgan Stanley Dean Witter & Co.,Aloti Lane 984,10863823547,17768994,939978137
"Cadence Design Systems, Inc.",Lufoz Manor 228,10626158272,86486602,2412251
Conoco Inc,Gidaki Junction 892,20779998333,17783333,964597447
Lexmark International Inc.,Vivev Grove 943,20128458777,50777453,5759254
Hubbell Inc.,Hazwu Lane 128,20772572292,40167198,4591797
Group 1 Automotive Inc.,Zilu Parkway 679,10214347243,26709627,3956158
"Cadence Design Systems, Inc.",Pigtuc Extension 948,10787411616,88013224,5785523
Hewlett-Packard Company,Eniide Lane 115,10842236885,61128708,3425693
Burlington Resources Inc.,Jefcec Center 162,10569625962,17143401,976423263
Bristol-Myers Squibb Company,Pubuc Grove 077,10985829183,84448920,962478673
"D&K Healthcare Resources, Inc.",Akboz Key 025,20437632661,62869151,2193328
Ocean Energy Inc,Fojo Park 332,10245477283,36736368,6754314
"Aquila, Inc.",Tunos Junction 313,20733269775,07569049,6888717
Olin Corp.,Edure Lane 480,20658697127,57626690,995418217
Waste Management Inc,Nepoh Way 213,10142863884,94453387,978452244
Radio Shack Corporation,Inijir Center 364,20674431184,01391394,971171193
Wisconsin Energy Corporation,Igto Drive 828,10958622961,18580046,2714196
Quintiles Transnational,Pomma Court 197,20163711972,05719660,3845852
Bausch & Lomb Incorporated,Kene Pike 068,20774688946,02777034,3682882
"Benchmark Electronics, Inc.",Sossof Drive 014,10565446222,32977587,913259254
Cisco Systems Inc.,Cedram Ridge 667,10776795854,55556011,6839425
"Dole Food Company, Inc.",Giwe Trail 307,10532128497,50913135,2569746
EGL Inc.,Lafepi Way 660,20864471243,00030625,965928347
Sunoco Inc.,Ihfiz Heights 635,20535294265,72334820,922481843
"Bemis Company, Inc.",Ikuku Extension 290,10651689262,30337664,3382695
Safeco Corp,Pesobo Highway 454,20131479297,91548861,921867641
Stryker Corp,Cobu Circle 269,20889165296,16322764,928378158
Oxford Health Plans Inc,Cibno Pass 184,10613134459,30561846,968378432
Viasystems Group Inc,Ihlac Boulevard 989,10657171448,05986408,983295815
KeySpan Corp.,Jiji Park 811,20848867236,50449578,932253963
Hillenbrand Industries Inc.,Ifdaz Park 465,10197125576,24351002,6364579
Regions Financial Corp.,Larahe Manor 532,20287783966,84514978,921369458
Anadarko Petroleum Corporation,Borbur Manor 914,20817632176,52525842,954127399
"Bemis Company, Inc.",Tubo Terrace 216,10736396824,27644559,4344693
"Airgas, Inc.",Marvow Junction 377,10371567913,11970177,975299829
"ADC Telecommunications, Inc.",Nuit Court 485,10775271712,69283250,3654231
Hibernia Corp.,Kutu Turnpike 692,20115161474,21491350,945638288
Marathon Oil Corporation,Gipu Grove 232,10188716949,79635437,6629982
Community Health Systems Inc.,Cavleb Boulevard 909,20965194252,28752538,951389296
Spherion Corp,Aroci River 652,10762844958,93084426,6955551
Tecumseh Products Company,Votsa Drive 814,10435352994,27245218,924733436
Praxair Inc,Jodvo Ridge 155,10984354668,20109606,964746462
TMP Worldwide Inc,Dattos Loop 140,20476312575,17379270,957528156
Leggett & Platt Inc.,Amwig Parkway 319,10989389325,99108098,6796675
Teleflex Incorporated,Seves Drive 391,10815316593,58050906,988154699
IKON Office Solutions Inc.,Oluume View 916,10213419444,96956738,6512753
M.D.C. Holdings Inc.,Ruici Glen 964,20591355345,73890948,2931529
Crompton Corp.,Viiv Pike 702,20385759586,32466207,915533543
Phillips Van Heusen Corp.,Ivoiva Highway 561,10141328815,39274909,922513857
"American Eagle Outfitters, Inc.",Jinsis Pass 483,10989263271,32669835,2255984
Marsh Supermarkets Inc.,Wurta Junction 125,20837523445,33748846,986167958
Gentiva Health Services Inc.,Razam Point 091,10529236871,44564565,916431318
"Brinker International, Inc.",Zuvo Lane 984,20279662639,97951102,4473996
Hon Industries Inc.,Dokti Terrace 500,10615137266,33872149,3129589
Spartan Stores Inc,Mazu Extension 452,20535471635,10302629,5646497
Golden West Financial Corporation,Gajju Heights 850,10377246662,92552376,972839319
Valero Energy Corporation,Ifiot Loop 337,10239742175,07779131,941893972
"Adams Resources & Energy, Inc.",Gigne Turnpike 537,10333536736,98668316,937815765
Quintiles Transnational,Inwa View 108,10788833392,03921233,915589257
C. H. Robinson Worldwide Inc.,Reffor Loop 019,20956119594,14374209,5924895
Crown Cork & Seal Co. Inc.,Razrik Terrace 839,20556458394,67747188,996336429
Levi Strauss & Co.,Sigac Center 724,10993798143,27864155,975666661
"Dominion Resources, Inc.",Bilad Park 916,10772558246,35531927,2775967
Comdisco Inc.,Gikra Extension 083,20353716448,04227288,3867298
Phillips Petroleum Co,Rezzu River 923,20168459122,26738851,923128973
W.W. Grainger Inc,Sawuz Way 922,10773153614,54258774,2112391
Fleming Companies Inc.,Hurpe Way 883,10462295863,15510616,985923561
US Airways Group Inc,Cejgah Center 350,10172282463,60317245,2663654
American Standard Companies Inc.,Kake Terrace 115,10855348255,70413261,961912554
Burlington Coat Factory Warehouse Corporation,Paho Mill 005,20194238133,45559700,967478347
Mohawk Industries Inc.,Hawfun Point 222,10878942433,34369307,927946429
Northeast Utilities System,Nambil Center 501,20196922251,00185742,937839574
Transocean Inc,Zibak Lane 065,20316532477,54395133,3365917
Charter Communications Inc.,Nejuz River 230,10162664945,60449335,935321274
First Data Corp.,Fisaca Circle 663,20582331362,59344485,6573982
Tiffany & Co,Mitir Square 077,20376959774,67741305,955817955
OM Group Inc,Zipfu Place 807,20325311964,54998198,3429412
W.R. Berkley Corporation,Cigoj Trail 172,10541454866,21637365,2846527
Volt Information Sciences Inc,Fogi Key 256,10158781951,03120547,971681585
Reebok International Ltd.,Isaci Key 163,20779248754,08990525,3558612
Hawaiian Electric Industries Inc.,Ijico Center 706,10244789133,81809067,2521651
Huntington Bancshares Inc.,Vifis Manor 307,10636195792,17991968,4238483
"BJ's Wholesale Club, Inc.",Elije Loop 598,20494986338,05358746,979989843
Sovereign Bancorp Inc.,Tokna Avenue 880,10596971735,57976977,6772951
Gateway Inc.,Ovaofe Center 478,20241141499,36157388,957691824
ARAMARK Corporation,Munu Lane 359,20862485315,98870401,959186239
Emcor Group Inc.,Elah Manor 489,10591527985,16968368,3157881
First Data Corp.,Jomim Court 037,20674235885,81878761,971149586
Cisco Systems Inc.,Itoru Pike 470,10762541643,17865149,976362975
CMS Energy Corp.,Wasji Point 696,20479771614,75681320,5583513
SCI Systems Onc.,Ubuki Circle 043,20253898283,04935407,949813748
Dana Corporation,Vovoz Path 580,20929445577,80878577,6914374
"Beckman Coulter, Inc.",Ebolo View 997,20862725854,44649616,4923566
Tenneco Automotive Inc.,Nuge River 228,10977514315,59348998,969258552
Molex Incorporated,Suzpa Path 547,10521171232,93064017,3417482
Hovnanian Enterprises Inc.,Ohufu Path 512,20745764311,05318485,4159642
Centex Corp.,Muffo Key 354,10744886663,97946701,935372361
Office Depot Inc.,Janul River 381,20699873662,05242551,948284372
"Cadence Design Systems, Inc.",Juvje Mill 871,10656199796,19433102,988551145
Eli Lilly and Company,Lacow Glen 217,10848626113,96363930,2245554
"Alaska Air Group, Inc.",Gokibu Place 706,20495844472,43595992,3538355
Domino's Pizza LLC,Kinur Circle 986,20741765918,03576588,955945719
Frontier Oil Corp,Huzug Junction 342,10349335325,75458603,3756471
"Allegheny Energy, Inc.",Foholi Avenue 087,10323775291,45893916,959712689
Fairchild Semiconductor International Inc.,Hara Path 549,20568697778,48750155,5349443
CMS Energy Corp.,Siim Avenue 262,10536846312,35530915,5818694
WGL Holdings Inc,Pojni View 274,10783979797,20036767,921859212
"Ames Department Stores, Inc.",Rilez Grove 635,10828835555,27833162,4488268
Ingles Market Inc,Runut Heights 283,20347363538,31574919,4616614
Alliant Energy Corporation,Kivso Heights 517,10576229954,75445451,4342185
GreenPoint Financial Corp.,Fufjuw Court 294,10131143777,99577484,946536213
Consolidated Freightways Corp.,Eleki Center 747,20458543262,20554892,4339149
AMERCO,Tado Pike 844,20657683641,23777632,945398377
Abercrombie & Fitch Co.,Bodte Lane 028,10667741233,23576760,5332893
Comcast Corp.,Pindes Drive 832,10121672824,03849667,957115487
KeySpan Corp.,Niura Circle 487,20586828192,19231313,935324477
Metals USA Inc.,Noeje Extension 325,20398398593,00563457,4583532
Federal Express Corp.,Pomac Place 861,10236978819,11125200,3929643
MPS Group Inc.,Hafet Pike 964,10784484915,02015399,928889299
Health Net Inc.,Zeigo Grove 353,10996847956,77175081,947691351
Universal Corporation,Bilcok Loop 611,20668299251,90901755,923863819
Avista Corporation,Sipep Parkway 851,20585569354,73861772,982951168
Cincinnati Financial Corp.,Wipis River 932,20174358771,44678531,954731696
WorldCom Inc,Dube View 886,20117827923,59190892,951949781
DynCorp,Cotim Terrace 758,20858189225,11799896,6475361
Acterna Corp.,Uwcam Court 203,10436756611,75540597,4826138
Veritas Software Corporation,Uhbof Way 691,10664328142,45272936,927475991
"Arch Coal, Inc.",Bopso View 401,20592144886,42915360,4847778
Universal Forest Products Inc,Coroc Trail 666,10723174832,66877186,914419639
MasTec Inc.,Hohtu Glen 522,10751738151,76047291,994765341
Duke Energy Corp,Mukrik Pass 147,10385782433,87644955,4795619
Marriott International Inc.,Vomah Path 790,10283787283,40390559,967123722
Fifth Third Bancorp,Vajuf Trail 752,10141161571,59452825,5842774
Comerica Inc.,Icweb Square 925,20181589875,79417131,928171198
Kerr-McGee Corporation,Wemak Plaza 260,10354594737,87092203,4191222
Premcor Inc.,Seic Trail 931,10734837289,69480216,4334726
Ivax Corp.,Tetles Junction 232,20497987718,86566838,6845866
Trinity Industries Inc,Keni Loop 036,20273792182,96339218,959961881
"Albertson's, Inc.",Gudi Way 227,10782144251,24057171,938442879
Trump Hotels & Casino Resorts Inc.,Unha Circle 036,10535176637,09591241,4322544
TRW Inc,Laezu Key 095,10742362887,92760179,988452538
The Bear Stearns Companies Inc.,Gohbiw Drive 998,10772286196,04161813,6931357
WorldCom Inc,Naik Lane 900,20444324565,44861457,2457173
Deere & Company,Sade Court 123,20492356377,81948831,2532489
Service Corp. International,Gatpe Glen 348,20436242421,16579575,953248766
Manor Care Inc.,Otesap Pike 354,10733196745,09368354,5184538
