ruc,dni_natural,dni_repr,tlf_natural,tlf_repr,tlf_empresa
10194168721,52866664,25127053,943712538,3928737,936132569
10641696446,38540530,70310085,985744218,975565351,6495186
20269976261,70933962,64610554,6689814,921694534,963478889
10972968741,91557437,15071456,5177422,974315519,989422848
20421721576,51733607,47887300,4756643,911286376,5179161
10649473841,90816182,20439220,5197393,5368632,6741577
20917392991,02984268,85447290,914664934,962794343,4171882
10143516856,09502171,98435149,2564547,958496889,2729492
10133165763,37929133,95156199,969592457,979626747,929692771
20959868132,11567161,43543557,6228393,912274574,914827534
10794862941,82232422,01167903,956285792,2859941,923768653
20721911961,34658080,30650068,949867511,2549946,5442116
20547293752,85209508,17372400,3618512,6749758,4527219
10116472472,70017686,89807831,6898297,923825385,926188586
10725378491,70074080,23409465,938121658,982745763,995868751
20956957272,03943407,72546278,997373661,4278547,958939215
20898186396,13047673,54774834,4839572,969257836,5184952
20449957969,72368819,66272936,968344299,928269112,916333487
10423156693,69802744,59920468,976955575,995599729,4636771
20577556814,65106374,34772771,946616527,2453643,2553285
20988927983,32895007,15613033,994274463,999554769,5323364
10258498959,59875222,22097799,978523739,981441475,925832299
10575263584,44206472,37490067,928585442,969894914,917886672
10843844994,54910387,89823824,2351273,4387275,5386471
20337373746,18085356,89853192,964914897,2872797,6296546
10894857121,86478211,41250712,934571431,2223878,986866837
10623917879,88137490,26831796,5938328,983753435,4572191
10248858633,28867985,96585023,932657311,916523512,921744219
20467877263,92057578,96702952,924869454,987572414,993551427
20292229734,88296993,83218541,916529314,985465526,982342526
10171771487,56288740,75447562,2956163,951222271,6112334
10629326937,02409107,45832852,994779881,3717985,3313612
20259451917,45750381,03681169,3763912,972684918,6543327
10516122878,62899972,88889444,5825796,4224261,994283228
20262466482,53098400,62341116,2423624,4494676,3712187
20494344626,94725896,28716630,2689653,923355916,988321482
20114313963,64153401,33732860,6346297,2145246,976973968
10137484213,96845635,82346705,967775333,999294597,957972624
20761527981,66198036,18642193,972233411,6447321,4132198
10381871447,60558896,92496558,3498251,4353465,2672913
10293526979,13226562,81908691,963877273,929712218,983816222
20957799515,86039133,91390968,986973691,922956384,993118965
10131359163,26547348,70254189,3485869,973638318,6999466
10797487593,12870974,97240490,974217219,972748457,2914413
20674946789,93095924,78704702,3641552,925454268,999148346
20686289473,87844314,13441511,5773496,919161172,995147268
10573315424,28326914,29163103,2681366,934592367,2518682
10199761775,64812564,36695255,5771491,6519277,988273336
10688459294,85566280,49813378,914473689,5927953,3259453
10476738485,35219523,24284271,6485498,932381476,5677319
10632174175,32823361,60792939,6644564,6115167,978221726
10466456399,16515123,09930577,935154447,3675221,976563355
10835724478,97233152,50203477,6851764,967628256,979466765
10968364146,58575445,03073302,949187246,4178242,3218153
10578416888,60924484,46545096,4725361,917474216,4981644
20549349875,91746217,85121456,6256943,973773358,6793191
10618781635,11159788,78859386,4939355,4475946,3924635
20741725792,00655373,26784416,6671493,6782363,943621937
10756332126,59359314,92350504,5537812,5188248,929917412
20499894192,39793616,11666700,3895641,942229335,6857228
20566291716,39074919,07829426,2375671,6346845,929383863
10584992948,70940349,08761173,947251579,2148425,989677269
20756715231,23610432,60364623,6675222,3862142,5318674
10657317485,07946990,22392442,945791978,969196218,6691796
20944821548,00153300,55176227,4611938,2596232,4623142
10918275416,27797867,38060179,3799662,2587821,935178599
20353554124,75313636,82349085,935318385,996629224,6493411
20377819245,89114762,21300998,4395877,958829621,945579978
10992116465,92271225,55422654,929936958,943343661,6314635
20277185324,82023625,20036999,2571266,928618733,5522461
10978287147,77966252,05890068,5399162,979749867,5617657
20375384515,65901997,94737191,978398727,937412472,4613146
20797869759,80266427,87704380,957826762,963445347,998449529
10678253928,28678334,61901691,916456661,969832281,982277523
10672768782,14969451,33665308,993678987,3795137,961514527
10244354356,37244538,66566569,918782567,4267858,2677691
10943423173,57250830,71677481,953173669,993464732,6595398
10729347442,99432604,79354849,916275673,996389329,3177635
10954971647,93834917,19336811,6662588,936513393,983127296
20745618425,27472489,55044250,974343762,4784474,943172862
20337536697,48926081,94985724,6197995,2385869,4723214
10465557999,63283295,80684496,5672634,4214762,4991157
20722216515,10244080,59974097,965893538,976883142,6147995
10721297816,55343081,56009788,975646929,6362975,967254895
10266638252,75511970,19479496,5634375,983495212,919129747
10388547244,13430683,98497822,4793915,916168777,2652366
10137858412,25499412,21117580,2736274,972793664,936289668
20172924184,85567142,07120398,4792131,963844988,954525975
20273648252,56015809,13789112,4573319,5183331,3724752
10343661188,39854186,11277990,6216419,918386453,3111317
10568485146,07450604,66650275,3493213,5994549,972988562
10244145459,01707767,08559820,974625499,944644351,995681824
10191344149,43786700,34723374,2575186,3686283,986774652
20362421517,32988910,43812528,5738913,2359475,4989393
10362188495,38185023,64373385,975261859,2818668,979335669
20748375117,66909660,41709386,2328597,999796445,958726379
10475918571,75137653,86269559,926617796,991265212,967836828
20275726863,30677299,75866859,931824585,971546397,951741387
10982572825,43450172,00573404,5117946,3162588,992961123
10949834262,09863852,20259365,929617979,3789924,6418486
10523155248,86738937,56331231,5628314,2985354,3184842
10335236715,45759809,47079810,922995836,4185974,3513334
10913454172,71612300,14339627,5344927,981864645,6951487
10327827683,62360903,23461580,918984653,2766583,5622535
20293831586,39878138,42150456,6631412,992132786,952687349
10247672737,64072032,90066382,955996723,978893485,5499748
10881373358,13861803,14497941,977514171,968874535,5557846
20341865175,32509041,60553103,4512228,932166794,996472935
10858565322,43782821,82489027,6362351,963968347,6182676
20391663745,96941296,59970022,927952694,2275524,4445818
10248769496,68883787,35339748,976295758,5392795,5944126
20256158462,05074410,77478938,2831521,3913874,963383793
20987462765,97397346,23098472,997493947,6412996,975834716
10313592196,18421450,97814560,945671593,5127511,2935395
20625726154,75542210,30965292,965991416,3344224,2587775
20261922991,13298781,72709352,2886781,3323596,937767186
10657546123,56529511,22514635,5359629,5526187,5665648
20181773428,35608498,33780107,5482665,928356457,2694374
20718788714,98391185,31883902,963893761,998968322,6677947
10679193733,09155758,94212944,955619758,998347357,3333381
10196946449,07524541,83122118,2126126,922185632,947241552
20252892752,52834786,71560779,6951567,997798927,989884734
10318868638,07633587,68184498,914197387,6621994,5739983
20234313959,48208830,90132893,2165997,4433181,962539219
20641222732,49793243,68799845,994836579,914411424,3186469
10883346173,34806211,37027383,934494949,4176592,4858731
10953595534,10513915,45976249,984953324,5369998,2523285
10752314965,67731801,99256334,6481341,988536486,913596166
20437914938,36830211,48484186,957359987,971981961,4668529
20311553996,98386293,33214214,938481519,3498274,925527665
10976159556,19052991,68952113,933142254,2668396,2132241
20831739873,94434568,36861184,949765263,5982497,918618816
20277867734,05397487,93110636,3672264,967699182,4811788
20519522745,17864013,93767019,981259827,915211797,2251669
20576937159,68299960,11324866,991984281,926731179,955893636
10794845142,67872712,78766659,935831818,2543711,994611794
20298673774,07125157,53996653,3612679,4898877,948919775
10328812818,07168874,71375462,3466585,5176317,2576713
10615915884,43831611,26061495,945433364,6863673,957622798
20499461952,93507095,33653965,6589714,947599972,973152536
20145467565,88992806,30512992,4692391,2594882,5185417
20358429415,96092207,34890993,4531442,5166143,983473763
10459716293,88106109,70079562,968672892,953651713,2824798
10496818789,51168125,41273547,981831414,4635729,988871386
20247374788,27728984,93034139,5365458,6859645,917412339
20365624416,83888944,56450989,3563661,935625196,927162221
20435964383,26766246,85475379,951596472,998366549,5164877
10521295686,05273775,67507119,3335361,5449833,982237437
10664115632,50720950,12562275,3259915,951336712,5799281
20751283893,82540285,37684580,965196919,3728459,2361566
10863823547,36597528,17768994,986579132,945386769,939978137
10626158272,18592086,86486602,987641814,2736585,2412251
20779998333,73363988,17783333,933856128,2459268,964597447
20128458777,71441995,50777453,4778865,952324459,5759254
20772572292,20000511,40167198,3281272,5679832,4591797
10214347243,71925645,26709627,5441927,3443698,3956158
10787411616,04373953,88013224,966612524,955984632,5785523
10842236885,63242052,61128708,3815636,997445349,3425693
10569625962,23762180,17143401,991991577,989936446,976423263
10985829183,68799545,84448920,949568441,944487446,962478673
20437632661,56911549,62869151,3157796,973592843,2193328
10245477283,22508034,36736368,6482663,965264732,6754314
20733269775,51449532,07569049,936259184,978829835,6888717
20658697127,10159429,57626690,975569737,2536537,995418217
10142863884,04450382,94453387,3779162,955356649,978452244
20674431184,41916936,01391394,927396819,973537665,971171193
10958622961,08880448,18580046,6157698,942566352,2714196
20163711972,16210896,05719660,989744763,2631568,3845852
20774688946,05005148,02777034,6967185,6251743,3682882
10565446222,59401854,32977587,6616647,2734354,913259254
10776795854,82875876,55556011,917449427,934538184,6839425
10532128497,10069593,50913135,926436735,914424813,2569746
20864471243,68548725,00030625,966599277,6736334,965928347
20535294265,06317212,72334820,942897782,2297852,922481843
10651689262,43320778,30337664,992553177,5662744,3382695
20131479297,17757940,91548861,985978231,981886953,921867641
20889165296,30888564,16322764,4796527,993871746,928378158
10613134459,50381386,30561846,6328986,981287454,968378432
10657171448,51900787,05986408,997529451,941593746,983295815
20848867236,63612004,50449578,965654268,3632633,932253963
10197125576,60889855,24351002,3162183,957297151,6364579
20287783966,29828000,84514978,3172739,966256536,921369458
20817632176,22537041,52525842,947523128,6274276,954127399
10736396824,59790697,27644559,911519875,995482665,4344693
10371567913,68676540,11970177,6922549,918458763,975299829
10775271712,51145621,69283250,987193161,979519777,3654231
20115161474,24457537,21491350,928741584,968375658,945638288
10188716949,84064088,79635437,933186555,996359165,6629982
20965194252,93568391,28752538,921526498,5343183,951389296
10762844958,06465482,93084426,3774859,983633368,6955551
10435352994,48732121,27245218,5498196,5699893,924733436
10984354668,32955035,20109606,3823967,5581141,964746462
20476312575,02584455,17379270,974151559,2874419,957528156
10989389325,33226705,99108098,957437479,4613424,6796675
10815316593,88191888,58050906,978426562,919765687,988154699
10213419444,00115952,96956738,4618258,6764848,6512753
20591355345,91322174,73890948,934419832,3812367,2931529
20385759586,06929266,32466207,2339429,6871541,915533543
10141328815,55061392,39274909,957825693,919848753,922513857
10989263271,87652783,32669835,3612593,3592547,2255984
20837523445,18857880,33748846,3515645,967111978,986167958
10529236871,29746025,44564565,3485581,4321934,916431318
20279662639,94741783,97951102,953212441,4452661,4473996
10615137266,70377162,33872149,5634531,2869393,3129589
20535471635,20983932,10302629,944899882,913825341,5646497
10377246662,67176144,92552376,5514721,6359853,972839319
10239742175,80275692,07779131,3635185,996392278,941893972
10333536736,03589048,98668316,6671344,3226894,937815765
10788833392,85790898,03921233,5514179,927971829,915589257
20956119594,32833057,14374209,958299471,3234137,5924895
20556458394,71783283,67747188,6285788,952722918,996336429
10993798143,57023524,27864155,918153679,983354393,975666661
10772558246,48038642,35531927,3477928,2569244,2775967
20353716448,12123611,04227288,6419482,2122736,3867298
20168459122,56562074,26738851,947726438,968827813,923128973
10773153614,65745321,54258774,3873751,5998168,2112391
10462295863,69365186,15510616,2963121,964581331,985923561
10172282463,96418649,60317245,6243471,5811714,2663654
10855348255,09415292,70413261,6518495,943418297,961912554
20194238133,18865182,45559700,5399936,938474837,967478347
10878942433,03975466,34369307,986665745,5824947,927946429
20196922251,61169229,00185742,953851895,988238393,937839574
20316532477,09621334,54395133,987784551,934519291,3365917
10162664945,28731592,60449335,942949522,974594274,935321274
20582331362,33886611,59344485,984762241,954672247,6573982
20376959774,99462010,67741305,911682328,979581539,955817955
20325311964,17298678,54998198,959797481,967664126,3429412
10541454866,15968265,21637365,952891149,5697966,2846527
10158781951,97265336,03120547,4272584,986556678,971681585
20779248754,46204753,08990525,3239794,941899958,3558612
10244789133,44713841,81809067,931769642,929916819,2521651
10636195792,00755169,17991968,916874467,948883918,4238483
20494986338,27230087,05358746,986327684,6799473,979989843
10596971735,61583972,57976977,925189526,915771333,6772951
20241141499,46787587,36157388,936711243,987568117,957691824
20862485315,31381479,98870401,912591126,3698565,959186239
10591527985,32541597,16968368,5736336,962863444,3157881
20674235885,03395467,81878761,5292585,2234567,971149586
10762541643,43371377,17865149,917114638,972571214,976362975
20479771614,79984015,75681320,3498579,4141638,5583513
20253898283,03785830,04935407,986953172,4991984,949813748
20929445577,98107728,80878577,5264925,952327236,6914374
20862725854,35024161,44649616,959312598,988713551,4923566
10977514315,89287660,59348998,987313977,4237551,969258552
10521171232,41108004,93064017,3569739,6224644,3417482
20745764311,16898280,05318485,2997185,4584836,4159642
10744886663,93916882,97946701,929942491,941295832,935372361
20699873662,72231412,05242551,986538913,6334197,948284372
10656199796,09172955,19433102,2712912,5253223,988551145
10848626113,18348821,96363930,3345273,2753383,2245554
20495844472,37796177,43595992,2888518,998448787,3538355
20741765918,89690028,03576588,2835925,3973463,955945719
10349335325,03950560,75458603,3961811,3244257,3756471
10323775291,98234260,45893916,2594481,3314137,959712689
20568697778,09679697,48750155,4339837,978666696,5349443
10536846312,05884795,35530915,5881334,926565547,5818694
10783979797,75605070,20036767,918136588,952925615,921859212
10828835555,24201033,27833162,973567624,926639363,4488268
20347363538,17984201,31574919,2183223,983692218,4616614
10576229954,32060657,75445451,4567256,5992949,4342185
10131143777,49049938,99577484,998553613,2952637,946536213
20458543262,05133287,20554892,977612271,968381625,4339149
20657683641,33082380,23777632,6399142,967587372,945398377
10667741233,57278788,23576760,967981232,6115533,5332893
10121672824,03672705,03849667,949979185,4787482,957115487
20586828192,13506208,19231313,987587723,5945895,935324477
20398398593,02731827,00563457,3396652,984441813,4583532
10236978819,94777467,11125200,917648461,931957922,3929643
10784484915,98031915,02015399,4623218,941611919,928889299
10996847956,34220115,77175081,989498528,5811666,947691351
20668299251,88927969,90901755,6931756,967948739,923863819
20585569354,30840785,73861772,998699676,4591475,982951168
20174358771,40072635,44678531,3559683,982473891,954731696
20117827923,23581299,59190892,933271955,4142168,951949781
20858189225,95633573,11799896,913871569,6436389,6475361
10436756611,38056374,75540597,952211234,915371881,4826138
10664328142,13719733,45272936,912899217,5766127,927475991
20592144886,15948475,42915360,4628241,995286175,4847778
10723174832,40343594,66877186,932637278,956719326,914419639
10751738151,01289515,76047291,3899716,6151278,994765341
10385782433,38834734,87644955,921818114,917529871,4795619
10283787283,78191629,40390559,5773443,999959794,967123722
10141161571,04541598,59452825,4875516,4321476,5842774
20181589875,67732238,79417131,922584619,979336439,928171198
10354594737,54680825,87092203,977976544,2987697,4191222
10734837289,67670137,69480216,988246787,4144292,4334726
20497987718,46679758,86566838,995583582,942263617,6845866
20273792182,36956802,96339218,928214816,984838128,959961881
10782144251,37435140,24057171,5987616,3387554,938442879
10535176637,88146445,09591241,5294987,5464188,4322544
10742362887,96108147,92760179,6588183,4192661,988452538
10772286196,98438869,04161813,4219416,6515232,6931357
20444324565,65902194,44861457,953278413,994255669,2457173
20492356377,97316281,81948831,936635976,946966417,2532489
20436242421,54625058,16579575,2785115,3531248,953248766
10733196745,26508465,09368354,3562593,974454477,5184538
10265431133,41061074,20769480,6265456,992762556,969195636
10768374841,86995711,59265623,974189621,2676198,923542632
10288796871,93315478,66496857,965465329,6469649,938243677
10654317548,27651757,36350941,6494336,2642634,977881689
10165582645,37399011,78564706,974259924,945226729,6336925
10283629144,32234110,81701666,994573457,2281243,2857339
10469955719,13688511,21259946,978142294,2283665,927437365
20943286873,73363124,69488592,6589812,962497816,972127843
20838394181,11546851,36659093,4456362,974135883,986785137
20237686783,40126016,81710505,4256932,5353455,992761856
20236534323,94713779,32130771,935438651,975427218,982177269
10341554927,00746108,97514741,4285614,2433287,925963329
20776278132,60675339,00499975,5441288,967812926,911554759
10238192612,81881710,69655488,952249652,2792467,928398749
10259882447,90324123,04920233,4458929,4239464,2117295
10783659786,26735426,83962173,955486685,6434377,976441741
20424663611,04254763,67411720,6634874,2693358,928673176
20972799672,37753537,56482198,2414779,2679398,921536932
20489251597,82470125,08140001,917669697,3387424,5127769
20787663771,51391984,19392327,968587948,944381529,3756935
10561365371,61520262,13475152,982354257,957286563,915572232
10183514229,04473173,20321749,919337343,5489189,4863978
20853339148,83461978,01744577,952241921,6493132,4989921
20154122524,25262465,22751691,2131623,949899347,934593311
10712241111,16012008,06515930,3728352,3758711,942852855
10319511311,31311396,29701843,6835537,962242281,5996751
10729783362,75507634,13630881,932633273,4727138,5133382
20148287658,65992130,23811537,995981452,6742285,918863481
20561347756,07579367,69765753,913277883,945426995,4734672
20323211352,22886602,62256788,4293115,942283771,911172956
20117847842,90138139,41578759,964958612,963648541,2232813
10755253797,24307805,63645861,3419854,5626158,941369468
20448319978,23989058,58770611,5795843,4936557,5726695
10993919453,65022915,02201900,2563514,3893369,2112645
20784657986,13869388,93129903,6249652,4999881,934177128
20446278956,71466230,02310807,926245359,942751267,4124522
20749263217,91281142,98288550,4235636,943551534,923591139
10978314598,06794019,10756270,5999367,3922745,3733413
20715424527,95103843,26733270,957134935,2625798,967461966
20774645823,40937027,77931477,942547412,4156227,928326163
10832425473,83898012,30489508,4325668,5955873,993499514
10512337929,31313467,18761667,987537316,2293676,2998358
20139372839,22159592,77335722,954284671,6789494,4835424
20738521561,35463791,99856101,943539211,918825338,925998529
20917677898,29548825,51398814,933449479,3349217,6446364
10228711867,17898020,61289855,3681757,975469439,4372484
10688512247,32963871,47490583,986158485,956966119,2289515
10249979293,45348140,27694415,937126591,3156789,3698245
10138515637,22878417,32602485,927148127,928986649,933389918
20135947878,46533538,77045622,912445455,4791143,976878555
20317956861,09314319,39475032,992617537,975717772,5236197
10178534731,55571284,55982742,995628526,6247318,952684162
10589164698,40353165,69342200,5723139,6239978,916245899
10417352661,00473480,58628854,948411292,4746367,3265139
10363548311,56654796,99664559,5475639,997589128,3492417
20354256138,08453397,32737958,985592567,957921996,939443294
10578239577,88844694,76239539,971621348,2479546,914179879
20665392516,52462892,22971023,5527673,2888735,5828755
20438877535,08329123,62885522,4416459,975662338,987963191
20754453538,45659540,98426020,6318796,935885448,965578668
20449973169,14497663,47774458,2852854,3283337,912234612
10113992919,13442056,69279029,946135818,915425865,991554443
20611341514,34320242,62733847,963663123,953819249,6889712
10634913289,87654604,96090441,975768336,996243888,4544941
20511257624,09055424,49528224,4651682,926326522,995981994
10547578543,63708793,96275849,957675429,977148655,3674416
10917743367,01905045,79152574,925832363,933319734,2918495
20355197262,14109378,88362910,985372263,3365144,6416974
20234663266,53782300,85208188,975154876,2245346,4893114
20141266646,72976933,72242227,3665375,961133853,2723493
20298796729,47997329,28154185,915279361,938812186,3991382
20176618339,71652728,18507198,2422552,958698275,2861568
10878951281,09695097,98611037,961411755,3938167,984272439
10243475897,16404956,80137027,915913391,925951447,4385636
20745987853,93165616,23992170,3619656,4182339,968377118
10955554629,68990429,09222932,5592149,984371495,925659631
20721424225,94610098,11291663,943966558,4417313,978947991
10938456386,59301341,83930644,6732927,6496469,938633339
10682671827,29760672,81273988,945598766,954691399,953649227
20256842693,99001190,88943848,6666672,3618261,998219346
20668628669,88140241,36293208,2598587,6191459,3261822
10124533853,10224298,06247672,948998914,976341827,2535454
20743135736,60210289,93508859,5166464,2653951,945868931
20567346142,97602549,74468281,987385195,5137262,974363551
10946292724,29493768,95363426,2691169,2584235,945459279
10616721481,14628914,96270326,2685368,2874497,986572844
10551671562,05830620,63591769,2166795,3926795,5918424
10173787841,21439837,26159229,3477271,6198829,951214788
20879276751,89069921,39653755,4842238,978453181,2293836
20722594722,84588517,71844137,5762597,991697169,941644619
10457629942,20793152,17767234,969169714,4698713,2296988
10991372513,07740090,38569233,998945721,6343922,5758888
10241912948,55300969,84372610,3382781,5855917,956422726
20634523899,33061484,90969347,955553673,3376367,4328847
10877383845,44767317,24716980,4723786,4264377,5959337
20268967685,85161771,29939622,4264446,5262764,927788132
10859874765,30113054,68718576,949198872,4536986,5427858
10861336231,54975986,28622600,962113741,956314322,6288225
10913262753,96208959,16617159,6867968,964196721,4761623
10538361984,08011976,42021108,972465573,3574593,953437873
20237977737,51160372,77519912,2644395,6573766,999478173
10844245541,99406040,24048676,2264813,951697924,958282938
10713884589,24740736,00678180,4817398,3985394,956458399
20536138256,96519609,07463234,6663827,958742622,4195935
20929815257,85949915,22321105,6829985,2922261,958573586
10636563765,84990238,55537027,2152245,4698111,3315572
20396815325,50423169,18009074,944514219,953822343,2495234
20884469124,77080880,38793277,3548838,987621441,2667592
20757782422,92630786,55077110,919567167,4574955,3732178
20718773398,94720497,58279414,937692693,987765128,916716684
20355218237,61388235,16657836,957436473,2153739,949628182
10154623839,95944906,58418920,966638185,5252489,913391742
20212513899,35688957,61253446,934179348,929493255,987616361
20999395169,66633526,17445739,3934915,925896129,4312524
20528254345,22177371,69468064,3439754,918152298,927224458
10164952153,96328737,48025875,3849932,923636164,986128465
20255828786,23158030,03462322,4875558,4771934,3867439
10696176739,11390186,60568047,971471926,4473433,968362269
10349138966,99904829,08625647,957115547,989623991,965819946
20541961555,72202020,05976101,954441262,3295234,3777799
10222677826,97882530,48820767,964935673,4318328,941919421
20585317172,09369221,49273492,991379534,2671622,928964287
10998214437,43319702,66382266,941488263,5655536,946191423
20158316581,09240302,62355017,2842763,922227455,4382596
20137537838,63029551,89505910,4365496,958113349,981135376
20987554414,25750165,27221352,993968714,2213531,5329641
20357826422,73392356,92908929,978558776,971777618,2636683
10739354735,80949257,75515399,2461349,6812357,5585458
20653974465,98194274,26014491,2159372,934975582,5838921
20421958111,78125001,36845185,5183736,935748715,997154578
20554853881,77988526,10795660,3366794,941955221,948429481
10574433627,17085581,11108315,3184944,912525394,4845162
20724327415,60692910,09367979,931352111,997838286,6934462
10479677555,06123772,04395678,914395564,991475426,961388312
10558855372,93951288,49405534,4838731,914622685,6127531
20931195392,89095037,49132380,995528877,3742215,978928982
10444932159,71199679,95667812,6225519,2238466,961745472
10696184133,96784872,07148925,3941213,984996557,4113869
10669932756,09005713,47056993,967995992,4155948,6114427
20674719152,67102313,23248877,988562846,964999759,3516784
20153327778,20834774,50029389,2338615,992519638,5979886
10529671823,79761219,87868656,965923737,2183769,3985126
20737787569,76115187,66722465,3554344,6166262,917536166
10731952256,06549790,82076873,943643912,6788382,5939338
20586669969,87870987,94804008,5594251,912566779,3838136
20591172883,42226160,27573526,4468116,5946988,2289696
20432547693,15352094,65342342,939989413,2658824,3986441
10336728372,69397183,50170812,915669559,943972469,4248485
10564392937,27797910,12546362,936192372,2231853,6651682
20857231835,22390941,44349510,919493632,6755834,5653662
10355568698,65160048,76112192,5954158,3432564,3537526
10493428565,02442583,58203340,2417595,2176869,4891993
